2026-06-29 10:07:17.962 | ERROR    | __main__:main | ❌ Extraction failed: unsupported format string passed to NoneType.__format__
2026-06-29 10:13:06.540 | INFO     | __main__:main | No arguments provided, defaulting to AAPL
2026-06-29 10:13:06.555 | INFO     | extractor:extract | 🚀 Starting extraction for AAPL
2026-06-29 10:13:06.555 | INFO     | extractor:from_ticker | 📥 Downloading 10-K for AAPL...
2026-06-29 10:13:08.276 | INFO     | extractor:from_ticker | Found filing: https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/0000320193-25-000079-index.htm
2026-06-29 10:13:09.966 | ERROR    | __main__:main | ❌ Extraction failed: name 'doc_name' is not defined
2026-06-29 10:15:21.749 | INFO     | __main__:main | No arguments provided, defaulting to AAPL
2026-06-29 10:15:21.749 | INFO     | extractor:extract | 🚀 Starting extraction for AAPL
2026-06-29 10:15:21.749 | INFO     | extractor:from_ticker | 📥 Downloading 10-K for AAPL...
2026-06-29 10:15:23.519 | INFO     | extractor:from_ticker | Found filing: https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/0000320193-25-000079-index.htm
2026-06-29 10:15:26.708 | INFO     | extractor:from_ticker | ✅ Downloaded 73 characters
2026-06-29 10:15:26.718 | INFO     | extractor:identify_sections | Found sections: []
2026-06-29 10:15:26.718 | INFO     | extractor:extract | 🔄 Running extraction workflow...
2026-06-29 10:15:26.727 | INFO     | extractor:_extract_financials | 💰 Extracting financial statements...
2026-06-29 10:15:29.191 | SUCCESS  | extractor:_extract_financials | ✅ Extracted financial data for 
2026-06-29 10:15:29.191 | INFO     | extractor:_validate_data | 🔍 Validating extracted data...
2026-06-29 10:15:29.191 | INFO     | extractor:_validate_data | Validation score: 33.3% (1/3 checks passed)
2026-06-29 10:15:29.191 | INFO     | extractor:_extract_risks | ⚠️ Extracting risk factors...
2026-06-29 10:15:30.144 | SUCCESS  | extractor:_extract_risks | ✅ Extracted 0 risks
2026-06-29 10:15:30.144 | INFO     | extractor:_extract_segments | 🏢 Extracting business segments...
2026-06-29 10:15:31.192 | SUCCESS  | extractor:_extract_segments | ✅ Extracted 0 segments
2026-06-29 10:15:31.192 | INFO     | extractor:_quality_check | 📊 Running quality check...
2026-06-29 10:15:31.192 | ERROR    | extractor:_quality_check | ❌ Quality check failed: 33.3%
2026-06-29 10:15:31.192 | SUCCESS  | extractor:extract | ✅ Extraction complete in 9.4s
2026-06-29 10:15:31.192 | INFO     | extractor:extract | 📁 Results saved to: C:\Users\91964\Desktop\Denave\financial-extractor\data\output\AAPL_20260629_101531.json
2026-06-29 10:15:31.212 | ERROR    | __main__:main | ❌ Extraction failed: unsupported format string passed to NoneType.__format__
2026-06-29 10:19:49.268 | INFO     | __main__:main | No arguments provided, defaulting to AAPL
2026-06-29 10:19:49.272 | INFO     | extractor:extract | 🚀 Starting extraction for AAPL
2026-06-29 10:19:49.272 | INFO     | extractor:from_ticker | 📥 Downloading 10-K for AAPL...
2026-06-29 10:19:50.341 | INFO     | extractor:from_ticker | Found filing: https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/0000320193-25-000079-index.htm
2026-06-29 10:19:52.906 | INFO     | extractor:from_ticker | ✅ Downloaded 220,666 characters
2026-06-29 10:19:52.929 | INFO     | extractor:identify_sections | Found sections: ['business', 'risks', 'md_and_a', 'financials']
2026-06-29 10:19:52.929 | INFO     | extractor:extract | 🔄 Running extraction workflow...
2026-06-29 10:19:52.940 | INFO     | extractor:_extract_financials | 💰 Extracting financial statements...
2026-06-29 10:19:55.023 | SUCCESS  | extractor:_extract_financials | ✅ Extracted financial data for 2025
2026-06-29 10:19:55.023 | INFO     | extractor:_validate_data | 🔍 Validating extracted data...
2026-06-29 10:19:55.023 | INFO     | extractor:_validate_data | Validation score: 33.3% (1/3 checks passed)
2026-06-29 10:19:55.038 | INFO     | extractor:_extract_risks | ⚠️ Extracting risk factors...
2026-06-29 10:19:56.016 | SUCCESS  | extractor:_extract_risks | ✅ Extracted 0 risks
2026-06-29 10:19:56.016 | INFO     | extractor:_extract_segments | 🏢 Extracting business segments...
2026-06-29 10:19:56.701 | SUCCESS  | extractor:_extract_segments | ✅ Extracted 0 segments
2026-06-29 10:19:56.701 | INFO     | extractor:_quality_check | 📊 Running quality check...
2026-06-29 10:19:56.701 | ERROR    | extractor:_quality_check | ❌ Quality check failed: 33.3%
2026-06-29 10:19:56.701 | SUCCESS  | extractor:extract | ✅ Extraction complete in 7.4s
2026-06-29 10:19:56.701 | INFO     | extractor:extract | 📁 Results saved to: C:\Users\91964\Desktop\Denave\financial-extractor\data\output\AAPL_20260629_101956.json
2026-06-29 10:19:56.712 | ERROR    | __main__:main | ❌ Extraction failed: unsupported format string passed to NoneType.__format__
